SPCD,DO_BH,HT_TOT,TT_DW_CRM,COMMON_NAME
12,5.8,41.2,88.83,balsam fir 
12,10.2,63.6,385.65,balsam fir 
12,5.4,39.2,73.67,balsam fir 
12,16.0,81.0,1190.29,balsam fir 
12,7.2,54.3,165.07,balsam fir 
12,8.4,53.4,228.7,balsam fir 
12,7.0,46.0,142.26,balsam fir 
12,8.1,39.7,179.46,balsam fir 
12,7.4,51.6,170.58,balsam fir 
12,8.8,56.5,261.21,balsam fir 
12,2.0,13.9,6.46,balsam fir 
12,4.2,38.0,39.59,balsam fir 
12,6.5,39.5,112.42,balsam fir 
12,4.7,42.1,52.22,balsam fir 
12,3.6,29.5,27.1,balsam fir 
12,2.9,27.9,15.95,balsam fir 
12,3.3,31.0,21.89,balsam fir 
12,2.5,24.4,11.1,balsam fir 
12,3.4,31.9,23.55,balsam fir 
12,2.9,26.1,15.95,balsam fir 
12,6.2,34.5,95.62,balsam fir 
12,5.7,42.5,86.42,balsam fir 
12,4.7,41.5,52.22,balsam fir 
12,11.8,42.5,404.81,balsam fir 
12,6.5,40.6,113.86,balsam fir 
12,8.8,56.0,259.83,balsam fir 
12,1.6,17.4,3.78,balsam fir 
12,6.5,53.9,130.66,balsam fir 
12,2.8,23.9,14.64,balsam fir 
12,2.6,20.9,12.22,balsam fir 
12,6.3,45.3,103.55,balsam fir 
12,7.0,56.0,165.09,balsam fir 
12,7.0,51.2,157.77,balsam fir 
12,6.0,50.2,105.96,balsam fir 
12,10.4,67.4,440.48,balsam fir 
12,8.9,51.6,269.26,balsam fir 
12,6.4,48.0,122.86,balsam fir 
12,7.8,59.4,222.82,balsam fir 
12,9.7,67.7,382.1,balsam fir 
12,11.0,49.8,350.47,balsam fir 
12,4.9,35.0,57.87,balsam fir 
12,12.1,54.7,448.05,balsam fir 
12,6.1,43.9,102.61,balsam fir 
12,5.5,35.8,68.25,balsam fir 
12,9.4,58.4,307.43,balsam fir 
12,8.2,53.1,212.41,balsam fir 
12,6.9,45.2,134.92,balsam fir 
12,5.9,40.0,85.29,balsam fir 
12,6.9,46.3,132.23,balsam fir 
12,6.6,44.1,129.76,balsam fir 
12,6.3,50.0,114.58,balsam fir 
12,8.1,53.3,214.92,balsam fir 
12,5.6,44.1,79.23,balsam fir 
12,8.0,44.8,189.73,balsam fir 
12,10.8,57.1,435.11,balsam fir 
12,5.9,44.1,97.28,balsam fir 
12,10.2,57.0,376.76,balsam fir 
12,9.1,51.2,288.29,balsam fir 
12,5.4,35.8,65.72,balsam fir 
12,6.9,46.2,128.84,balsam fir 
12,5.4,48.5,70.18,balsam fir 
12,5.7,44.4,94.42,balsam fir 
12,6.1,55.0,121.97,balsam fir 
12,5.4,49.6,77.3,balsam fir 
12,5.5,40.0,75.7,balsam fir 
12,5.1,40.8,58.93,balsam fir 
12,5.6,43.4,82.4,balsam fir 
12,6.0,45.7,101.04,balsam fir 
12,5.2,37.0,62.84,balsam fir 
12,5.5,32.6,72.01,balsam fir 
12,5.0,40.8,48.36,balsam fir 
12,5.2,38.3,61.57,balsam fir 
12,5.7,47.1,89.25,balsam fir 
12,5.4,37.9,73.27,balsam fir 
12,9.2,80.3,382.37,balsam fir 
12,6.0,58.6,110.78,balsam fir 
12,8.0,60.0,230.89,balsam fir 
12,8.6,54.0,248.68,balsam fir 
12,7.2,53.8,142.98,balsam fir 
12,7.2,57.7,169.04,balsam fir 
12,9.5,45.1,259.03,balsam fir 
12,6.4,44.1,113.62,balsam fir 
12,6.3,53.3,134.67,balsam fir 
12,6.4,54.1,135.95,balsam fir 
12,6.0,47.7,105.15,balsam fir 
12,5.1,40.6,61.16,balsam fir 
12,11.2,78.5,528.04,balsam fir 
12,11.0,76.0,520.82,balsam fir 
12,9.1,58.8,302.19,balsam fir 
12,7.2,56.8,180.21,balsam fir 
12,8.3,57.7,248.53,balsam fir 
12,6.1,56.5,127.87,balsam fir 
12,5.4,37.0,66.78,balsam fir 
12,5.8,51.9,103.48,balsam fir 
12,5.1,40.6,58.68,balsam fir 
12,10.9,64.2,458.99,balsam fir 
12,7.4,52.5,168.82,balsam fir 
12,9.4,51.3,280.75,balsam fir 
12,6.1,40.5,99.74,balsam fir 
12,6.2,48.8,108.52,balsam fir 
12,5.9,43.3,80.08,balsam fir 
12,5.3,42.3,68.87,balsam fir 
12,10.9,75.2,534.24,balsam fir 
12,6.4,49.2,113.92,balsam fir 
12,9.7,57.7,333.32,balsam fir 
12,7.2,52.8,151.18,balsam fir 
12,7.6,47.6,162.8,balsam fir 
12,8.0,61.9,247.52,balsam fir 
12,5.8,51.9,100.68,balsam fir 
12,8.2,47.6,189.2,balsam fir 
12,6.2,39.0,92.13,balsam fir 
12,9.0,45.5,207.09,balsam fir 
12,19.0,66.7,1282.42,balsam fir 
12,6.0,34.5,86.17,balsam fir 
12,6.5,42.9,112.76,balsam fir 
12,6.1,36.1,90.62,balsam fir 
12,5.3,40.4,64.28,balsam fir 
12,9.5,66.2,351.15,balsam fir 
12,7.5,47.1,176.69,balsam fir 
12,9.3,64.6,334.59,balsam fir 
12,7.3,51.5,153.97,balsam fir 
12,8.1,57.6,237.83,balsam fir 
12,5.1,47.6,70.01,balsam fir 
12,6.7,49.6,143.17,balsam fir 
12,11.1,50.6,385.54,balsam fir 
